Column1,freq,threshold,sd,subj,task,run
1,Low,-14.0,1.63299316,x23,Control,1
3,Low,-14.66666667,2.49443826,x23,Control,2
6,Low,-13.33333333,1.49071198,x23,Control,3
7,Low,-10.33333333,3.14466038,x23,Control,4
10,Low,-13.0,3.41565026,x23,Control,5
12,Low,-15.0,1.0,x23,Control,6
2,High,-18.66666667,1.49071198,x23,Control,1
4,High,-18.66666667,4.10960934,x23,Control,2
5,High,-15.66666667,3.14466038,x23,Control,3
8,High,-10.66666667,4.85340659,x23,Control,4
9,High,-16.0,2.30940108,x23,Control,5
11,High,-19.0,1.91485422,x23,Control,6
13,Low,-14.0,2.5819889,x01,Control,1
16,Low,-15.33333333,2.21108319,x01,Control,2
18,Low,-15.33333333,2.21108319,x01,Control,3
19,Low,-15.0,2.76887462,x01,Control,4
22,Low,-15.33333333,1.49071198,x01,Control,5
24,Low,-16.33333333,1.37436854,x01,Control,6
14,High,-18.66666667,2.21108319,x01,Control,1
15,High,-20.66666667,1.49071198,x01,Control,2
17,High,-19.0,1.0,x01,Control,3
20,High,-19.0,1.91485422,x01,Control,4
21,High,-21.0,2.51661148,x01,Control,5
23,High,-18.0,1.63299316,x01,Control,6
26,Low,-20.33333333,1.37436854,x02,Control,1
28,Low,-20.33333333,1.79505494,x02,Control,2
29,Low,-19.66666667,1.79505494,x02,Control,3
31,Low,-21.66666667,2.13437475,x02,Control,4
34,Low,-20.0,2.5819889,x02,Control,5
35,Low,-15.66666667,3.54338194,x02,Control,6
25,High,-21.0,2.51661148,x02,Control,1
27,High,-22.33333333,2.92498813,x02,Control,2
30,High,-22.33333333,1.79505494,x02,Control,3
32,High,-23.66666667,2.13437475,x02,Control,4
33,High,-26.0,2.5819889,x02,Control,5
36,High,-21.0,2.51661148,x02,Control,6
37,Low,-17.33333333,3.19722102,x06,Control,1
39,Low,-18.0,1.63299316,x06,Control,2
42,Low,-17.33333333,1.49071198,x06,Control,3
44,Low,-15.66666667,2.13437475,x06,Control,4
46,Low,-20.0,1.63299316,x06,Control,5
47,Low,-15.66666667,1.37436854,x06,Control,6
38,High,-17.33333333,4.10960934,x06,Control,1
40,High,-18.33333333,2.13437475,x06,Control,2
41,High,-19.33333333,1.49071198,x06,Control,3
43,High,-13.33333333,2.21108319,x06,Control,4
45,High,-16.0,4.3204938,x06,Control,5
48,High,-6.66666667,1.49071198,x06,Control,6
49,Low,-17.66666667,1.37436854,x07,Control,1
51,Low,-15.0,1.91485422,x07,Control,2
54,Low,-18.0,1.63299316,x07,Control,3
55,Low,-17.0,1.91485422,x07,Control,4
58,Low,-17.66666667,2.13437475,x07,Control,5
60,Low,-16.33333333,2.13437475,x07,Control,6
50,High,-15.0,1.0,x07,Control,1
52,High,-17.33333333,2.21108319,x07,Control,2
53,High,-19.0,2.51661148,x07,Control,3
56,High,-18.0,2.30940108,x07,Control,4
57,High,-17.0,2.76887462,x07,Control,5
59,High,-17.33333333,2.21108319,x07,Control,6
61,Low,-16.66666667,2.49443826,x08,Control,1
64,Low,-18.33333333,2.68741925,x08,Control,2
66,Low,-14.66666667,3.77123617,x08,Control,3
67,Low,-11.66666667,1.37436854,x08,Control,4
69,Low,-17.66666667,2.13437475,x08,Control,5
71,Low,-16.0,2.5819889,x08,Control,6
62,High,-19.0,1.91485422,x08,Control,1
63,High,-15.0,1.91485422,x08,Control,2
65,High,-18.0,1.63299316,x08,Control,3
68,High,-16.33333333,2.92498813,x08,Control,4
70,High,-18.66666667,2.21108319,x08,Control,5
72,High,-17.33333333,1.49071198,x08,Control,6
73,Low,-14.0,3.46410162,x09,Control,1
76,Low,-16.66666667,2.21108319,x09,Control,2
77,Low,-17.0,2.51661148,x09,Control,3
79,Low,-15.66666667,2.4267033,x09,Control,4
82,Low,-16.33333333,2.13437475,x09,Control,5
84,Low,-15.66666667,2.13437475,x09,Control,6
74,High,-18.0,3.46410162,x09,Control,1
75,High,-17.0,2.51661148,x09,Control,2
78,High,-14.33333333,2.13437475,x09,Control,3
80,High,-17.33333333,1.49071198,x09,Control,4
81,High,-15.0,1.91485422,x09,Control,5
83,High,-17.66666667,2.13437475,x09,Control,6
86,Low,-18.66666667,1.49071198,x10,Control,1
87,Low,-19.0,2.51661148,x10,Control,2
90,Low,-20.33333333,1.79505494,x10,Control,3
91,Low,-19.0,1.91485422,x10,Control,4
94,Low,-19.66666667,2.13437475,x10,Control,5
96,Low,-19.33333333,1.49071198,x10,Control,6
85,High,-22.66666667,1.49071198,x10,Control,1
88,High,-22.33333333,1.37436854,x10,Control,2
89,High,-22.66666667,1.49071198,x10,Control,3
92,High,-20.33333333,1.79505494,x10,Control,4
93,High,-22.33333333,1.79505494,x10,Control,5
95,High,-20.66666667,1.49071198,x10,Control,6
97,Low,-18.33333333,1.37436854,x11,Control,1
100,Low,-13.0,3.0,x11,Control,2
101,Low,-20.0,2.30940108,x11,Control,3
104,Low,-10.0,2.30940108,x11,Control,4
106,Low,-12.66666667,2.21108319,x11,Control,5
108,Low,-1.33333333,1.49071198,x11,Control,6
98,High,-20.33333333,3.54338194,x11,Control,1
99,High,-16.0,4.47213595,x11,Control,2
102,High,-3.0,1.0,x11,Control,3
103,High,-2.66666667,3.19722102,x11,Control,4
105,High,-3.0,1.91485422,x11,Control,5
107,High,-3.0,2.76887462,x11,Control,6
110,Low,-15.33333333,1.49071198,x15,Control,1
112,Low,-18.66666667,1.49071198,x15,Control,2
113,Low,-17.0,1.91485422,x15,Control,3
115,Low,-18.66666667,1.49071198,x15,Control,4
117,Low,-17.66666667,2.13437475,x15,Control,5
119,Low,-16.0,4.3204938,x15,Control,6
109,High,-21.33333333,1.49071198,x15,Control,1
111,High,-25.0,1.91485422,x15,Control,2
114,High,-19.66666667,2.13437475,x15,Control,3
116,High,-23.66666667,2.13437475,x15,Control,4
118,High,-26.66666667,1.49071198,x15,Control,5
120,High,-19.33333333,2.21108319,x15,Control,6
121,Low,-19.66666667,1.37436854,x20,Control,1
123,Low,-21.0,1.0,x20,Control,2
126,Low,-21.0,1.91485422,x20,Control,3
127,Low,-21.66666667,1.37436854,x20,Control,4
130,Low,-21.66666667,1.79505494,x20,Control,5
132,Low,-22.0,1.63299316,x20,Control,6
122,High,-20.33333333,2.13437475,x20,Control,1
124,High,-22.66666667,1.49071198,x20,Control,2
125,High,-23.33333333,3.77123617,x20,Control,3
128,High,-23.33333333,1.49071198,x20,Control,4
129,High,-24.33333333,1.37436854,x20,Control,5
131,High,-24.33333333,1.79505494,x20,Control,6
134,Low,-20.66666667,1.49071198,x27,Control,1
135,Low,-19.33333333,1.49071198,x27,Control,2
138,Low,-19.0,1.0,x27,Control,3
140,Low,-20.66666667,1.88561808,x27,Control,4
141,Low,-20.66666667,2.21108319,x27,Control,5
144,Low,-20.66666667,1.49071198,x27,Control,6
133,High,-22.0,1.63299316,x27,Control,1
136,High,-21.33333333,1.49071198,x27,Control,2
137,High,-19.33333333,3.94405319,x27,Control,3
139,High,-21.33333333,2.98142397,x27,Control,4
142,High,-20.33333333,2.4267033,x27,Control,5
143,High,-19.33333333,1.49071198,x27,Control,6
267,Low,0.0,0.0,x23,Task,1
269,Low,0.0,0.0,x23,Task,2
271,Low,0.0,0.0,x23,Task,3
273,Low,0.0,0.0,x23,Task,4
275,Low,0.0,0.0,x23,Task,5
277,Low,0.0,0.0,x23,Task,6
266,High,0.0,0.0,x23,Task,1
268,High,0.0,0.0,x23,Task,2
270,High,0.0,0.0,x23,Task,3
272,High,0.0,0.0,x23,Task,4
274,High,-2.33333333,1.79505494,x23,Task,5
276,High,0.0,0.0,x23,Task,6
146,Low,-14.66666667,1.49071198,x01,Task,1
148,Low,-14.66666667,1.88561808,x01,Task,2
150,Low,-16.0,1.63299316,x01,Task,3
152,Low,-16.33333333,2.13437475,x01,Task,4
155,Low,-15.33333333,1.49071198,x01,Task,5
156,Low,-15.0,1.0,x01,Task,6
147,High,-7.66666667,4.22952585,x01,Task,1
149,High,-12.33333333,1.37436854,x01,Task,2
151,High,-12.33333333,1.37436854,x01,Task,3
153,High,-10.33333333,1.79505494,x01,Task,4
154,High,-11.33333333,2.49443826,x01,Task,5
157,High,-12.0,2.0,x01,Task,6
159,Low,-18.0,2.0,x02,Task,1
161,Low,-16.66666667,2.21108319,x02,Task,2
163,Low,-17.0,1.91485422,x02,Task,3
164,Low,-17.33333333,2.49443826,x02,Task,4
166,Low,-16.33333333,1.37436854,x02,Task,5
169,Low,-17.33333333,1.49071198,x02,Task,6
158,High,-18.0,1.63299316,x02,Task,1
160,High,-19.66666667,1.79505494,x02,Task,2
162,High,-17.66666667,2.68741925,x02,Task,3
165,High,-18.33333333,2.13437475,x02,Task,4
167,High,-18.33333333,2.68741925,x02,Task,5
168,High,-19.66666667,2.13437475,x02,Task,6
170,Low,-9.0,1.91485422,x06,Task,1
173,Low,-2.33333333,1.37436854,x06,Task,2
175,Low,-3.33333333,2.49443826,x06,Task,3
176,Low,-11.33333333,1.49071198,x06,Task,4
178,Low,-1.33333333,1.49071198,x06,Task,5
181,Low,-6.66666667,3.39934634,x06,Task,6
171,High,0.0,0.0,x06,Task,1
172,High,-2.66666667,1.49071198,x06,Task,2
174,High,0.0,0.0,x06,Task,3
177,High,-2.66666667,2.74873708,x06,Task,4
179,High,0.0,0.0,x06,Task,5
180,High,0.0,0.0,x06,Task,6
182,Low,-1.33333333,1.49071198,x07,Task,1
185,Low,-9.0,2.23606798,x07,Task,2
187,Low,-7.33333333,1.49071198,x07,Task,3
188,Low,-5.66666667,3.14466038,x07,Task,4
190,Low,-3.33333333,2.49443826,x07,Task,5
192,Low,-5.33333333,3.19722102,x07,Task,6
183,High,0.0,0.0,x07,Task,1
184,High,0.0,0.0,x07,Task,2
186,High,0.0,0.0,x07,Task,3
189,High,-1.33333333,1.49071198,x07,Task,4
191,High,-1.33333333,1.49071198,x07,Task,5
193,High,0.0,0.0,x07,Task,6
195,Low,-14.0,2.0,x08,Task,1
196,Low,-11.33333333,2.98142397,x08,Task,2
199,Low,-9.33333333,2.21108319,x08,Task,3
200,Low,-10.0,3.82970843,x08,Task,4
202,Low,-12.0,1.63299316,x08,Task,5
205,Low,-12.0,2.0,x08,Task,6
194,High,-14.33333333,2.13437475,x08,Task,1
197,High,-11.0,2.76887462,x08,Task,2
198,High,-6.66666667,1.49071198,x08,Task,3
201,High,-9.0,1.0,x08,Task,4
203,High,-12.0,1.63299316,x08,Task,5
204,High,-8.33333333,2.13437475,x08,Task,6
206,Low,-14.0,1.63299316,x09,Task,1
208,Low,-13.66666667,2.68741925,x09,Task,2
210,Low,-10.66666667,2.21108319,x09,Task,3
212,Low,-13.0,1.0,x09,Task,4
214,Low,-10.33333333,2.68741925,x09,Task,5
217,Low,-11.33333333,1.49071198,x09,Task,6
207,High,-12.66666667,2.98142397,x09,Task,1
209,High,-10.0,2.82842712,x09,Task,2
211,High,-7.66666667,3.34995854,x09,Task,3
213,High,-8.66666667,1.49071198,x09,Task,4
215,High,-5.33333333,3.19722102,x09,Task,5
216,High,-8.66666667,3.39934634,x09,Task,6
219,Low,-15.66666667,1.79505494,x10,Task,1
220,Low,-16.66666667,1.49071198,x10,Task,2
222,Low,-15.33333333,2.21108319,x10,Task,3
224,Low,-15.33333333,1.49071198,x10,Task,4
227,Low,-15.66666667,1.79505494,x10,Task,5
228,Low,-13.0,1.91485422,x10,Task,6
218,High,-16.33333333,1.37436854,x10,Task,1
221,High,-17.66666667,2.13437475,x10,Task,2
223,High,-14.0,2.30940108,x10,Task,3
225,High,-16.33333333,2.13437475,x10,Task,4
226,High,-14.66666667,1.49071198,x10,Task,5
229,High,-13.66666667,1.79505494,x10,Task,6
231,Low,0.0,0.0,x11,Task,1
233,Low,0.0,0.0,x11,Task,2
234,Low,-8.33333333,4.22952585,x11,Task,3
236,Low,0.0,0.0,x11,Task,4
239,Low,0.0,0.0,x11,Task,5
241,Low,0.0,0.0,x11,Task,6
230,High,0.0,0.0,x11,Task,1
232,High,0.0,0.0,x11,Task,2
235,High,0.0,0.0,x11,Task,3
237,High,-1.0,1.0,x11,Task,4
238,High,0.0,0.0,x11,Task,5
240,High,-1.33333333,1.49071198,x11,Task,6
242,Low,-10.0,2.0,x15,Task,1
244,Low,-15.33333333,1.49071198,x15,Task,2
246,Low,-9.66666667,4.8189441,x15,Task,3
249,Low,-14.66666667,1.49071198,x15,Task,4
250,Low,-14.33333333,1.37436854,x15,Task,5
252,Low,-14.33333333,2.13437475,x15,Task,6
243,High,-14.33333333,2.68741925,x15,Task,1
245,High,-17.0,3.0,x15,Task,2
247,High,-16.33333333,2.13437475,x15,Task,3
248,High,-17.66666667,2.13437475,x15,Task,4
251,High,-13.33333333,2.21108319,x15,Task,5
253,High,-16.66666667,1.49071198,x15,Task,6
255,Low,-20.0,1.63299316,x20,Task,1
257,Low,-17.33333333,1.49071198,x20,Task,2
258,Low,-18.66666667,1.49071198,x20,Task,3
260,Low,-18.0,1.63299316,x20,Task,4
262,Low,-19.33333333,1.49071198,x20,Task,5
264,Low,-18.33333333,1.79505494,x20,Task,6
254,High,-21.33333333,1.49071198,x20,Task,1
256,High,-20.0,1.63299316,x20,Task,2
259,High,-21.0,1.91485422,x20,Task,3
261,High,-19.33333333,1.49071198,x20,Task,4
263,High,-20.66666667,1.49071198,x20,Task,5
265,High,-17.0,1.0,x20,Task,6
279,Low,-17.0,2.23606798,x27,Task,1
281,Low,-17.0,1.0,x27,Task,2
282,Low,-15.66666667,1.79505494,x27,Task,3
284,Low,-16.0,1.63299316,x27,Task,4
287,Low,-16.66666667,1.88561808,x27,Task,5
288,Low,-17.0,1.0,x27,Task,6
278,High,-17.33333333,1.49071198,x27,Task,1
280,High,-16.66666667,1.49071198,x27,Task,2
283,High,-15.0,1.91485422,x27,Task,3
285,High,-15.33333333,1.49071198,x27,Task,4
286,High,-14.66666667,2.21108319,x27,Task,5
289,High,-15.33333333,1.49071198,x27,Task,6
